biome,prefab,incMin,incMax,maxSlope,minScale,maxScale,rotToSlope,boundsRadius
AutumnForest,AP_FallTree_01_SM,8.9,14.2,7.5,1.00,1.00,False,8.90
AutumnForest,AP_FallTree_01_SM_1,11.1,17.8,8.6,1.00,1.00,False,11.11
AutumnForest,AP_Tree_AUT_White_A_02_SM,10.5,16.8,7.1,1.00,1.00,False,10.47
AutumnForest,AP_Tree_color_001_01_2,11.6,18.5,6.9,1.00,1.00,False,11.59
AutumnForest,AP_Tree_AUT_White_A_03_SM,9.7,15.5,8.9,1.00,1.00,False,9.68
AutumnForest,AP_FallTree_02_SM,8.1,13.0,7.8,1.00,1.00,False,8.13
AutumnForest,AP_Tree_color_001_03,10.1,16.1,5.5,1.00,1.00,False,10.08
AutumnForest,AP_Tree_Blackpoplar01_SM,30.2,52.8,8.8,1.00,1.00,False,15.08
AutumnForest,AP_Tree_Oak01_SM,22.7,39.7,6.6,1.00,1.00,False,11.34
Beach,AP_M6_Rock_SeashoreWallStone01_SM,4.8,7.7,6.7,1.00,1.00,True,4.80
Beach,AP_TurtleLake_Rock_LakeRock02_SM,11.2,18.4,5.6,1.00,1.00,True,1.43
Beach,AP_M6_Rock_FieldStoneStone06_SM,6.4,10.0,10.0,1.00,1.00,True,1.56
Beach,AP_M6_Rock_FieldStoneStone05_SM,10.4,16.8,7.8,1.00,1.00,True,1.34
Beach,RF_Boulder2,8.4,13.2,9.9,1.00,1.00,True,2.07
Beach,RF_Boulder1,8.0,12.8,6.4,1.00,1.00,True,0.98
Beach,RF_Boulder5,9.2,16.0,8.3,1.00,1.00,True,4.58
Beach,AP_TurtleLake_Rock_GoblinRock02_SM,7.8,13.7,9.2,1.00,1.00,True,3.90
EerieForest,AP_DeadTree02,9.7,14.5,8.8,1.00,1.00,False,16.15
EerieForest,AP_Tree_DeadTree01_SM,11.0,16.5,7.8,1.00,1.00,False,18.33
EerieForest,AP_DeadTree03,9.8,14.7,8.4,1.00,1.00,False,16.30
EerieForest,AP_Tree_WNT_03_Bark_01_SM_2,4.0,6.0,7.5,1.00,1.00,False,6.62
EerieForest,AP_DeadTree04,7.7,11.5,6.9,1.00,1.00,False,12.76
EerieForest,AP_Tree_WNT_M01_01_SM_3,16.6,26.6,7.5,1.00,1.00,False,16.60
EerieForest,AP_Tree_WNT_M_03_SM,13.4,21.4,6.9,1.00,1.00,False,13.36
EerieForest,AP_Tree_Burnt_04_SM,8.2,13.2,8.5,1.00,1.00,False,8.23
EerieForest,AP_WhiteFir_MD_Dead_03,6.2,9.8,9.6,1.00,1.00,False,6.15
FlakTower,AP_FallTree_01_SM,17.8,31.2,8.9,1.00,1.00,False,8.90
FlakTower,AP_FallTree_01_SM_1,22.2,38.9,9.3,1.00,1.00,False,11.11
FlakTower,AP_ENV_tree_SaGeeSukRim,8.6,13.8,8.8,1.00,1.00,False,8.62
FlakTower,AP_ENV_tree_ToeMunJean,7.9,12.6,9.5,1.00,1.00,False,7.86
FlakTower,AP_Norway_Spruce_01,8.0,14.0,5.5,1.00,1.00,False,4.00
FlakTower,AP_BC_PineTree_02,13.4,23.4,9.2,1.00,1.00,False,6.70
FlakTower,RF_Tree3,16.0,28.1,6.4,1.00,1.00,False,8.02
FlakTower,AP_AlaskaCedar_001_2,10.4,18.2,9.9,1.00,1.00,False,5.19
FlakTower,AP_Tree_04_PTree_05_SM,8.4,14.7,7.9,1.00,1.00,False,4.20
Forest,AP_Tree_04_GTree01_01_SM_2,17.7,28.3,5.4,1.45,1.45,False,17.68
Forest,AP_Tree_04_GTree01_02_SM,14.3,23.0,9.6,1.00,1.00,False,14.35
Forest,AP_Tree_04_GTree01_03_SM,12.3,19.6,7.4,1.00,1.00,False,12.27
Forest,AP_Tree_Conifir_A_01_SM_2,12.8,20.5,5.3,1.00,1.00,False,12.84
Forest,AP_Tree_Conifir_A_02_SM,12.7,20.4,8.9,1.00,1.00,False,12.72
Forest,AP_Tree_04_M01_01_SM_2,17.8,28.4,7.6,1.00,1.00,False,17.75
Forest,AP_Tree_04_M01_02_SM,30.6,53.6,6.8,1.00,1.00,False,15.32
Forest,AP_Tree_04_M01_03_SM,40.9,71.6,9.0,1.00,1.00,False,20.46
Forest,AP_Tree_04_GTree01_04_SM,34.1,59.6,6.8,1.00,1.00,False,17.04
Forest,AP_Tree_04_GTree01_05_SM,23.8,41.6,5.5,1.00,1.00,False,11.89
Forest,AP_Tree_04_GTree01_06_SM,40.6,71.0,9.6,1.00,1.00,False,20.28
Fountain,AP_Tree_10_ArgassTree_02_SM,8.1,13.0,7.1,1.00,1.00,False,8.10
Fountain,AP_Tree_10_ArgassTree_03_SM,9.6,15.4,8.0,1.00,1.00,False,9.64
Fountain,AP_Tree_10_ArgassTree_04_SM,12.8,20.5,8.7,1.00,1.00,False,12.79
Fountain,AP_Tree_10_ArgassTree_SM,7.6,12.1,7.6,1.00,1.00,False,7.59
Fountain,AP_Tree_Juniper02_SMIK,8.4,13.5,7.1,1.00,1.00,False,8.41
Fountain,AP_Tree_Juniper03_SMIK,11.6,18.5,7.5,1.00,1.00,False,11.55
Fountain,AP_Tree_Lake_RoundTree_01_SM,25.5,44.7,6.6,1.00,1.00,False,12.77
Fountain,AP_ENV_tree_Nokmyung,14.0,22.4,6.3,1.00,1.00,False,3.53
Glade,AP_Neutral_Foliage_A_Weed02_SM,7.2,11.2,8.0,1.00,1.00,False,1.50
Glade,AP_Neutral_Tree_A_PrickelGrass01_SM,9.6,14.4,9.6,1.00,1.00,False,1.95
Glade,AP_Neutral_Foliage_A_Weed01_SM,12.8,20.8,9.2,1.00,1.00,False,3.25
Glade,TSA_GrassDry_C,4.0,6.4,7.2,1.00,1.00,False,0.58
Glade,TSA_Heather_A,5.6,8.0,8.8,1.00,1.00,False,1.10
HereticForest,AP_DeadTree02,9.7,14.5,9.2,1.00,1.00,False,16.15
HereticForest,AP_Tree_WNT_03_Bark_01_SM_2,4.0,6.0,6.7,1.00,1.00,False,6.62
HereticForest,AP_Tree_DeadTree01_SM,11.0,16.5,6.7,1.00,1.00,False,18.33
HereticForest,AP_DeadTree03,16.3,26.1,5.0,1.00,1.00,False,16.30
HereticForest,AP_DeadTree04,12.8,20.4,9.5,1.00,1.00,False,12.76
HereticForest,AP_Tree_WNT_M_03_SM,13.4,21.4,8.1,1.00,1.00,False,13.36
HereticForest,AP_Tree_Burnt_04_SM,8.2,13.2,8.4,1.00,1.00,False,8.23
HereticForest,AP_Tree_Deadtree06_SM,18.6,32.5,5.9,1.00,1.00,False,9.29
Mountain,AP_TurtleLake_Rock_GoblinRock01_SM,4.5,7.2,7.7,1.00,1.00,True,4.52
Mountain,AP_M6_Rock_CemeteryRock02_SM,4.8,7.6,5.3,1.00,1.00,True,4.75
Mountain,AP_M6_Rock_SeashoreWallStone01_SM,4.8,7.7,5.8,1.00,1.00,True,4.80
Mountain,RF_Boulder5,4.6,7.3,5.5,1.00,1.00,True,4.58
Mountain,RF_Boulder4,12.0,19.6,6.0,1.00,1.00,True,3.05
Mountain,AP_TurtleLake_Rock_GoblinRock02_SM,3.9,6.2,8.1,1.00,1.00,True,3.90
Mountain,RF_Boulder3,6.8,10.0,9.5,1.00,1.00,True,2.87
Mountain,AP_M6_Rock_FieldStoneStone06_SM,7.2,11.2,9.5,1.00,1.00,True,1.56
Mountain,AP_M6_Rock_FieldStoneStone05_SM,6.4,9.6,9.5,1.00,1.00,True,1.34
Mountain,RF_Boulder2,9.6,15.2,9.1,1.00,1.00,True,2.07
Mountain,AP_TurtleLake_Rock_LakeRock02_SM,7.2,10.4,8.8,1.00,1.00,True,1.43
