biome,prefab,spacingMin,spacingMax,maxSlope,scaleMin,scaleMax
Forest,AP_Tree_04_M01_03_SM,50,70,34,0.82,1.06
Forest,AP_Tree_04_GTree01_04_SM,44,62,34,0.84,1.08
Forest,AP_Tree_04_GTree01_05_SM,40,56,36,0.82,1.10
Forest,AP_Tree_04_M01_02_SM,48,68,35,0.84,1.08
Forest,AP_Tree_04_GTree01_03_SM,44,60,36,0.84,1.10
Forest,AP_Tree_04_GTree01_01_SM_2,50,70,34,0.85,1.07
Forest,AP_Tree_04_GTree01_02_SM,44,62,35,0.84,1.10
Forest,AP_Tree_Conifir_A_01_SM_2,40,56,36,0.82,1.12
Forest,AP_Tree_Conifir_A_02_SM,42,58,36,0.82,1.12
Forest,AP_Tree_04_M01_01_SM_2,56,78,34,0.85,1.08
Forest,AP_Tree_04_GTree01_06_SM,85,120,24,0.88,1.08
Forest,AP_M6_Tree_ForestTree08_SM_JYI_2,52,72,30,0.82,1.15
Forest,AP_Tree_04_M01_04_SM,56,78,36,0.80,1.12
Forest,AP_Tree_04_M01_05_SM,58,80,34,0.82,1.10
Forest,AP_Tree_04_PTree_03_SM,80,112,38,0.80,1.16
Forest,AP_Tree_04_PTree_01_SM_2,82,116,38,0.80,1.16
Forest,AP_Tree_04_PTree_04_SM,115,165,36,0.78,1.14
Forest,AP_Tree_04_PTree_02_SM,82,116,38,0.80,1.16
Forest,AP_WhiteFir_MD_Dead_03,115,160,38,0.82,1.18
Forest,AP_M6_Tree_Bushtree01_SM,55,76,28,0.80,1.15
Forest,AP_M6_Tree_Bushtree02_SM,68,94,26,0.80,1.15
Forest,AP_TurtleLake_Tree_Stump02_SM,82,118,26,0.80,1.25
Forest,AP_Tree_Break_Root_02_SM,88,124,24,0.80,1.25
Forest,AP_Tree_Break_03_SM,90,128,22,0.85,1.18
Forest,AP_Tree_Break_02_SM,88,124,24,0.85,1.20
Forest,AP_Tree_Break_MushroomTrunk_01_SM,84,120,24,0.78,1.25
Forest,AP_TurtleLake_Tree_BrokenTree01_SM,90,128,24,0.82,1.22
AutumnForest,AP_FallTree_01_SM_1,38,50,28,0.86,1.08
AutumnForest,AP_FallTree_01_SM,44,60,30,0.84,1.12
AutumnForest,AP_Tree_Blackpoplar01_SM,64,88,28,0.86,1.10
AutumnForest,AP_Tree_AUT_White_A_02_SM,56,78,30,0.84,1.14
AutumnForest,AP_Tree_AUT_White_A_03_SM,62,86,32,0.82,1.16
AutumnForest,AP_Tree_Oak01_SM,76,104,28,0.88,1.10
AutumnForest,AP_FallTree_02_SM,44,60,32,0.82,1.16
AutumnForest,AP_Tree_color_001_01_2,48,66,30,0.82,1.16
AutumnForest,AP_Tree_color_001_03,52,72,32,0.80,1.18
AutumnForest,AP_ENV_tree_ToeMunJean,62,86,30,0.80,1.18
AutumnForest,AP_ENV_tree_SaGeeSukRim,64,88,30,0.80,1.18
AutumnForest,AP_Plant_003_07,76,104,32,0.78,1.20
AutumnForest,AP_Tree_Conifir_A_01_SM_2,52,72,34,0.84,1.12
AutumnForest,AP_Tree_Conifir_A_02_SM,52,72,34,0.84,1.12
AutumnForest,AP_Norway_Spruce_01,64,88,36,0.80,1.18
AutumnForest,AP_BC_PineTree_02,76,104,34,0.80,1.18
AutumnForest,AP_BC_PineTree_03,78,108,34,0.80,1.18
AutumnForest,AP_AlaskaCedar_001_2,76,104,36,0.78,1.20
AutumnForest,AP_Tree_Break_Root_02_SM,90,126,24,0.82,1.20
AutumnForest,AP_Tree_Break_02_SM,78,108,22,0.86,1.16
AutumnForest,AP_Tree_Break_MushroomTrunk_01_SM,76,104,24,0.80,1.24
EerieForest,AP_Tree_Burnt_04_SM,50,68,38,0.84,1.14
EerieForest,AP_Tree_WNT_M01_01_SM_3,52,72,32,0.86,1.12
EerieForest,AP_Tree_WNT_03_Bark_01_SM_2,44,60,36,0.82,1.16
EerieForest,AP_Tree_WNT_M_03_SM,52,72,34,0.84,1.14
EerieForest,AP_Tree_Deadtree06_SM,50,68,32,0.82,1.16
EerieForest,AP_WhiteFir_MD_Dead_03,44,60,38,0.80,1.18
EerieForest,AP_Tree_DeadTree01_SM,58,78,28,0.86,1.10
EerieForest,AP_DeadTree02,56,76,30,0.84,1.12
EerieForest,AP_DeadTree03,58,80,28,0.84,1.12
EerieForest,AP_DeadTree04,54,74,30,0.84,1.14
EerieForest,AP_GraveKeepers_B07,96,132,26,0.90,1.08
EerieForest,AP_GraveKeepers_B06,96,132,24,0.90,1.08
EerieForest,AP_Tree_Dry_D01,60,82,34,0.82,1.18
EerieForest,AP_TurtleLake_Tree_Stump02_SM,78,108,26,0.80,1.24
EerieForest,AP_Tree_Break_Root_02_SM,92,126,24,0.80,1.24
EerieForest,AP_Tree_Break_03_SM,98,136,20,0.86,1.16
EerieForest,AP_Tree_Break_02_SM,94,130,22,0.86,1.18
EerieForest,AP_Tree_Break_MushroomTrunk_01_SM,94,130,22,0.80,1.22
EerieForest,AP_TurtleLake_Tree_BrokenTree01_SM,96,132,22,0.82,1.22
EerieForest,AP_AlaskaCedar_001_2,140,190,38,0.82,1.16
EerieForest,AP_BC_PineTree_03,140,190,36,0.82,1.16
HereticForest,AP_Tree_Burnt_04_SM,45,62,36,0.84,1.12
HereticForest,AP_Tree_WNT_M01_01_SM_3,50,68,32,0.86,1.10
HereticForest,AP_Tree_WNT_03_Bark_01_SM_2,40,56,36,0.82,1.14
HereticForest,AP_Tree_WNT_M_03_SM,50,68,34,0.84,1.12
HereticForest,AP_Tree_Deadtree06_SM,45,62,32,0.82,1.14
HereticForest,AP_Tree_DeadTree01_SM,52,72,28,0.86,1.08
HereticForest,AP_DeadTree02,50,68,30,0.84,1.10
HereticForest,AP_DeadTree03,56,76,28,0.84,1.10
HereticForest,AP_DeadTree04,52,72,30,0.84,1.12
HereticForest,AP_Tree_Dry_D01,70,96,34,0.82,1.16
Mountain,AP_M6_Rock_SeashoreWallStone01_SM,86,120,38,0.78,1.18
Mountain,AP_M6_Rock_CemeteryRock02_SM,74,100,42,0.80,1.22
Mountain,AP_TurtleLake_Rock_GoblinRock02_SM,66,90,44,0.76,1.24
Mountain,AP_TurtleLake_Rock_GoblinRock01_SM,74,100,44,0.76,1.24
Mountain,AP_M6_Rock_FieldStoneStone06_SM,66,90,46,0.70,1.32
Mountain,AP_TurtleLake_Rock_TurtleRock04_SM,88,124,38,0.80,1.12
Mountain,AP_TurtleLake_Rock_LakeRock02_SM,70,94,46,0.70,1.34
Mountain,AP_M6_Rock_FieldStoneStone05_SM,74,100,46,0.70,1.34
Mountain,AP_Tree_04_PTree_03_SM,105,145,38,0.78,1.16
Mountain,AP_Tree_04_PTree_01_SM_2,105,145,38,0.78,1.16
Mountain,AP_Tree_04_PTree_04_SM,145,205,38,0.80,1.14
Mountain,AP_Tree_04_PTree_02_SM,105,145,38,0.78,1.16
Mountain,AP_Tree_04_PTree_05_SM,120,165,38,0.78,1.18
Mountain,AP_Norway_Spruce_01,120,165,36,0.78,1.16
Mountain,AP_BC_PineTree_02,120,165,36,0.78,1.16
Mountain,AP_BC_PineTree_03,120,165,36,0.78,1.16
Mountain,AP_AlaskaCedar_001_2,145,205,38,0.76,1.18
Mountain,AP_TurtleLake_Tree_Stump02_SM,145,205,32,0.78,1.24
Mountain,AP_Tree_Break_Root_02_SM,205,285,30,0.78,1.24
Mountain,AP_TurtleLake_Tree_BrokenTree01_SM,105,145,28,0.80,1.24
Beach,AP_M6_Rock_SeashoreWallStone01_SM,125,165,20,0.82,1.18
Beach,AP_TurtleLake_Rock_GoblinRock02_SM,110,150,18,0.78,1.24
Beach,AP_TurtleLake_Rock_GoblinRock01_SM,125,165,18,0.78,1.24
Beach,AP_M6_Rock_FieldStoneStone06_SM,110,150,18,0.70,1.32
Beach,AP_TurtleLake_Rock_TurtleRock04_SM,132,180,16,0.82,1.12
Beach,AP_TurtleLake_Rock_LakeRock02_SM,115,158,18,0.70,1.34
Beach,AP_M6_Rock_FieldStoneStone05_SM,125,165,18,0.70,1.34
Beach,AP_TurtleLake_Tree_Stump02_SM,145,195,12,0.82,1.20
Beach,AP_Tree_Break_03_SM,125,170,12,0.86,1.18
Beach,AP_Tree_Break_02_SM,125,170,12,0.86,1.20
Beach,AP_TurtleLake_Tree_BrokenTree01_SM,125,170,14,0.80,1.25
Beach,AP_Tree_04_PTree_01_SM_2,250,340,18,0.82,1.12
Beach,AP_BC_PineTree_02,250,340,18,0.82,1.14
Beach,AP_BC_PineTree_03,340,480,18,0.82,1.14
Beach,AP_AlaskaCedar_001_2,340,480,20,0.80,1.16
Glade,AP_Tree_04_PTree_04_SM,130,190,30,0.82,1.12
Glade,AP_Tree_04_PTree_05_SM,140,205,30,0.80,1.16
Glade,AP_Norway_Spruce_01,135,195,32,0.82,1.16
Glade,AP_AlaskaCedar_001_2,135,195,34,0.80,1.18
Glade,AP_Plant_003_07,155,220,28,0.78,1.20
Fountain,AP_Tree_10_ArgassTree_04_SM,76,102,24,0.86,1.12
Fountain,AP_Tree_10_ArgassTree_03_SM,76,102,26,0.84,1.14
