name,folder,visW,visH,visD,footprint,minY,visibleH,blockR,colType,tris
African_violet_blue_LOD,VegetationPrefabs,2.17,0.65,2.07,2.17,0.01,0.66,0.00,NONE,300
African_violet_LOD,VegetationPrefabs,2.09,0.63,1.99,2.09,0.01,0.64,0.00,NONE,300
AP_AlaskaCedar_001_2,VegetationPrefabs,5.00,10.93,5.19,5.19,0.00,10.93,0.19,capsule,963
AP_BC_PineTree_02,VegetationPrefabs,6.70,13.10,6.24,6.70,-0.66,12.44,0.44,capsule,2338
AP_BC_PineTree_03,VegetationPrefabs,9.80,12.62,8.33,9.80,-1.04,11.58,0.39,capsule,1360
AP_Building_exorcist_tree2,VegetationPrefabs,18.08,15.56,17.82,18.08,-0.73,14.83,0.78,capsule,1141
AP_DeadTree02,VegetationPrefabs,16.15,12.78,11.92,16.15,0.24,13.02,0.74,capsule,725
AP_DeadTree03,VegetationPrefabs,16.30,12.46,14.99,16.30,-0.15,12.31,1.05,capsule,2211
AP_DeadTree04,VegetationPrefabs,12.76,11.54,9.62,12.76,-0.10,11.44,1.32,capsule,1803
AP_ENV_tree_Nokmyung,VegetationPrefabs,3.53,3.96,3.35,3.53,-0.08,3.88,0.16,box,289
AP_ENV_tree_SaGeeSukRim,VegetationPrefabs,8.06,10.26,8.62,8.62,-0.27,9.99,0.29,capsule,288
AP_ENV_tree_ToeMunJean,VegetationPrefabs,7.86,10.68,7.38,7.86,-0.26,10.42,0.40,capsule,309
AP_FallTree_01_SM,VegetationPrefabs,8.64,25.68,8.90,8.90,-0.54,25.14,0.40,capsule,2890
AP_FallTree_01_SM_1,VegetationPrefabs,10.78,28.22,11.11,11.11,-0.62,27.60,0.40,capsule,2890
AP_FallTree_02_SM,VegetationPrefabs,7.09,17.05,8.13,8.13,-1.17,15.88,0.20,capsule,2535
AP_Flower_001_08,VegetationPrefabs,1.06,0.62,1.06,1.06,-0.03,0.60,0.00,NONE,146
AP_Flower_001_09,VegetationPrefabs,1.37,0.77,1.33,1.37,-0.03,0.74,0.00,NONE,148
AP_flower_001_10,VegetationPrefabs,0.59,0.82,0.68,0.68,-0.08,0.73,0.00,NONE,52
AP_flower_001_11,VegetationPrefabs,0.69,0.84,0.66,0.69,-0.09,0.76,0.00,NONE,52
AP_flower_001_12,VegetationPrefabs,0.58,0.77,0.68,0.68,-0.08,0.69,0.00,NONE,52
AP_flower_001A,VegetationPrefabs,4.75,0.63,4.94,4.94,-0.11,0.52,0.00,NONE,730
AP_GangshiTree_2,VegetationPrefabs,24.14,36.72,29.21,29.21,-1.96,34.77,2.55,capsule,9393
AP_GR_003GR_002_D,VegetationPrefabs,3.09,1.33,2.99,3.09,-0.20,1.14,0.00,NONE,1121
AP_GraveKeepers_B01,VegetationPrefabs,18.58,16.47,16.41,18.58,-0.14,16.33,2.00,capsule,20824
AP_GraveKeepers_B02,VegetationPrefabs,14.96,14.83,9.70,14.96,-0.18,14.66,1.44,capsule,27036
AP_GraveKeepers_B03_2,VegetationPrefabs,24.96,27.07,14.85,24.96,-0.33,26.74,2.00,capsule,16443
AP_GraveKeepers_B04,VegetationPrefabs,6.37,6.07,3.70,6.37,-0.03,6.04,0.33,capsule,17378
AP_GraveKeepers_B06,VegetationPrefabs,14.37,12.55,12.69,14.37,-0.26,12.29,1.60,capsule,17899
AP_GraveKeepers_B07,VegetationPrefabs,20.79,17.33,13.49,20.79,-0.18,17.15,2.00,capsule,5929
AP_GraveKeepers_C01,VegetationPrefabs,2.76,3.12,2.11,2.76,-1.00,2.12,1.41,capsule,2494
AP_GraveKeepers_C02,VegetationPrefabs,2.49,5.06,2.44,2.49,-1.06,4.00,1.23,capsule,2620
AP_M6_Rock_CemeteryRock02_SM,VegetationPrefabs,4.08,2.69,4.75,4.75,-0.15,2.55,2.37,box,3394
AP_M6_Rock_FieldStoneStone05_SM,VegetationPrefabs,1.34,0.68,1.26,1.34,0.00,0.68,0.67,box,480
AP_M6_Rock_FieldStoneStone06_SM,VegetationPrefabs,1.56,1.37,1.53,1.56,-0.12,1.25,0.78,box,1008
AP_M6_Rock_SeashoreWallStone01_SM,VegetationPrefabs,4.80,4.50,3.64,4.80,-0.47,4.03,1.97,capsule,1600
AP_M6_Tree_Bushtree01_SM,VegetationPrefabs,8.93,8.28,9.66,9.66,-0.15,8.13,1.62,capsule,966
AP_M6_Tree_Bushtree02_SM,VegetationPrefabs,12.57,5.95,10.76,12.57,-0.20,5.75,1.25,capsule,731
AP_M6_Tree_ForestTree08_SM_JYI_2,VegetationPrefabs,19.33,25.37,14.93,19.33,-0.38,24.99,1.02,capsule,1305
AP_M6_Tree_MonsterTreeBark_SM_PHJ_2,VegetationPrefabs,9.88,12.27,8.50,9.88,-0.10,12.17,3.37,capsule,9304
AP_Mushroom_A01_2,VegetationPrefabs,1.10,0.56,0.77,1.10,-0.15,0.42,0.00,NONE,646
AP_Mushroom_B01,VegetationPrefabs,4.55,1.09,2.46,4.55,-0.32,0.77,0.00,NONE,1036
AP_Mushroom_C01,VegetationPrefabs,4.33,1.02,2.28,4.33,-0.29,0.73,0.00,NONE,1114
AP_Nest_B01,VegetationPrefabs,7.72,1.98,6.00,7.72,0.00,1.98,0.00,NONE,451
